# dt=0.025000000000000001 sample_every_steps=10 sample_dt=0.25 start_time=75
# probe0 label=center component=ey x=0 y=0 z=0
# probe1 label=x+0.25 component=ey x=0.25 y=0 z=0
# probe2 label=y+0.25 component=ey x=0 y=0.25 z=0
t,re0,im0,re1,im1,re2,im2
124,0,0,0,0,0,0
124.25,0,0,0,0,0,0
124.5,0,0,0,0,0,0
124.75,0,0,0,0,0,0
125,0,0,0,0,0,0
125.25,0,0,0,0,0,0
125.5,0,0,0,0,0,0
125.75,0,0,0,0,0,0
126,0,0,0,0,0,0
126.25,0,0,0,0,0,0
126.5,0,0,0,0,0,0
126.75,0,0,0,0,0,0
127,0,0,0,0,0,0
127.25,0,0,0,0,0,0
127.5,0,0,0,0,0,0
127.75,0,0,0,0,0,0
128,0,0,0,0,0,0
128.25,0,0,0,0,0,0
128.5,0,0,0,0,0,0
128.75,0,0,0,0,0,0
129,0,0,0,0,0,0
129.25,0,0,0,0,0,0
129.5,0,0,0,0,0,0
129.75,0,0,0,0,0,0
130,0,0,0,0,0,0
130.25,0,0,0,0,0,0
130.5,0,0,0,0,0,0
130.75,0,0,0,0,0,0
131,0,0,0,0,0,0
131.25,0,0,0,0,0,0
131.5,0,0,0,0,0,0
131.75,0,0,0,0,0,0
132,0,0,0,0,0,0
132.25,0,0,0,0,0,0
132.5,0,0,0,0,0,0
132.75,0,0,0,0,0,0
133,0,0,0,0,0,0
133.25,0,0,0,0,0,0
133.5,0,0,0,0,0,0
133.75,0,0,0,0,0,0
134,0,0,0,0,0,0
134.25,0,0,0,0,0,0
134.5,0,0,0,0,0,0
134.75,0,0,0,0,0,0
135,0,0,0,0,0,0
135.25,0,0,0,0,0,0
135.5,0,0,0,0,0,0
135.75,0,0,0,0,0,0
136,0,0,0,0,0,0
136.25,0,0,0,0,0,0
136.5,0,0,0,0,0,0
136.75,0,0,0,0,0,0
137,0,0,0,0,0,0
137.25,0,0,0,0,0,0
137.5,0,0,0,0,0,0
137.75,0,0,0,0,0,0
138,0,0,0,0,0,0
138.25,0,0,0,0,0,0
138.5,0,0,0,0,0,0
138.75,0,0,0,0,0,0
139,0,0,0,0,0,0
139.25,0,0,0,0,0,0
139.5,0,0,0,0,0,0
139.75,0,0,0,0,0,0
140,0,0,0,0,0,0
140.25,0,0,0,0,0,0
140.5,0,0,0,0,0,0
140.75,0,0,0,0,0,0
141,0,0,0,0,0,0
141.25,0,0,0,0,0,0
141.5,0,0,0,0,0,0
141.75,0,0,0,0,0,0
142,0,0,0,0,0,0
142.25,0,0,0,0,0,0
142.5,0,0,0,0,0,0
142.75,0,0,0,0,0,0
143,0,0,0,0,0,0
143.25,0,0,0,0,0,0
143.5,0,0,0,0,0,0
143.75,0,0,0,0,0,0
144,0,0,0,0,0,0
144.25,0,0,0,0,0,0
144.5,0,0,0,0,0,0
144.75,0,0,0,0,0,0
145,0,0,0,0,0,0
145.25,0,0,0,0,0,0
145.5,0,0,0,0,0,0
145.75,0,0,0,0,0,0
146,0,0,0,0,0,0
146.25,0,0,0,0,0,0
146.5,0,0,0,0,0,0
146.75,0,0,0,0,0,0
147,0,0,0,0,0,0
147.25,0,0,0,0,0,0
147.5,0,0,0,0,0,0
147.75,0,0,0,0,0,0
148,0,0,0,0,0,0
148.25,0,0,0,0,0,0
148.5,0,0,0,0,0,0
148.75,0,0,0,0,0,0
149,0,0,0,0,0,0
149.25,0,0,0,0,0,0
149.5,0,0,0,0,0,0
149.75,0,0,0,0,0,0
150,0,0,0,0,0,0
150.25,0,0,0,0,0,0
150.5,0,0,0,0,0,0
150.75,0,0,0,0,0,0
151,0,0,0,0,0,0
151.25,0,0,0,0,0,0
151.5,0,0,0,0,0,0
151.75,0,0,0,0,0,0
152,0,0,0,0,0,0
152.25,0,0,0,0,0,0
152.5,0,0,0,0,0,0
152.75,0,0,0,0,0,0
153,0,0,0,0,0,0
153.25,0,0,0,0,0,0
153.5,0,0,0,0,0,0
153.75,0,0,0,0,0,0
154,0,0,0,0,0,0
154.25,0,0,0,0,0,0
154.5,0,0,0,0,0,0
154.75,0,0,0,0,0,0
155,0,0,0,0,0,0
155.25,0,0,0,0,0,0
155.5,0,0,0,0,0,0
155.75,0,0,0,0,0,0
156,0,0,0,0,0,0
156.25,0,0,0,0,0,0
156.5,0,0,0,0,0,0
156.75,0,0,0,0,0,0
157,0,0,0,0,0,0
157.25,0,0,0,0,0,0
157.5,0,0,0,0,0,0
157.75,0,0,0,0,0,0
158,0,0,0,0,0,0
158.25,0,0,0,0,0,0
158.5,0,0,0,0,0,0
158.75,0,0,0,0,0,0
159,0,0,0,0,0,0
159.25,0,0,0,0,0,0
159.5,0,0,0,0,0,0
159.75,0,0,0,0,0,0
160,0,0,0,0,0,0
160.25,0,0,0,0,0,0
160.5,0,0,0,0,0,0
160.75,0,0,0,0,0,0
161,0,0,0,0,0,0
161.25,0,0,0,0,0,0
161.5,0,0,0,0,0,0
161.75,0,0,0,0,0,0
162,0,0,0,0,0,0
162.25,0,0,0,0,0,0
162.5,0,0,0,0,0,0
162.75,0,0,0,0,0,0
163,0,0,0,0,0,0
163.25,0,0,0,0,0,0
163.5,0,0,0,0,0,0
163.75,0,0,0,0,0,0
164,0,0,0,0,0,0
164.25,0,0,0,0,0,0
164.5,0,0,0,0,0,0
164.75,0,0,0,0,0,0
165,0,0,0,0,0,0
165.25,0,0,0,0,0,0
165.5,0,0,0,0,0,0
165.75,0,0,0,0,0,0
166,0,0,0,0,0,0
166.25,0,0,0,0,0,0
166.5,0,0,0,0,0,0
166.75,0,0,0,0,0,0
167,0,0,0,0,0,0
167.25,0,0,0,0,0,0
167.5,0,0,0,0,0,0
167.75,0,0,0,0,0,0
168,0,0,0,0,0,0
168.25,0,0,0,0,0,0
168.5,0,0,0,0,0,0
168.75,0,0,0,0,0,0
169,0,0,0,0,0,0
169.25,0,0,0,0,0,0
169.5,0,0,0,0,0,0
169.75,0,0,0,0,0,0
170,0,0,0,0,0,0
170.25,0,0,0,0,0,0
170.5,0,0,0,0,0,0
170.75,0,0,0,0,0,0
171,0,0,0,0,0,0
171.25,0,0,0,0,0,0
171.5,0,0,0,0,0,0
171.75,0,0,0,0,0,0
172,0,0,0,0,0,0
172.25,0,0,0,0,0,0
172.5,0,0,0,0,0,0
172.75,0,0,0,0,0,0
173,0,0,0,0,0,0
173.25,0,0,0,0,0,0
173.5,0,0,0,0,0,0
173.75,0,0,0,0,0,0
174,0,0,0,0,0,0
174.25,0,0,0,0,0,0
174.5,0,0,0,0,0,0
174.75,0,0,0,0,0,0
175,0,0,0,0,0,0
